"lang","decade","nb"
"http://id.loc.gov/vocabulary/iso639-2/eng","1800","34"
"http://id.loc.gov/vocabulary/iso639-2/fre","1800","286"
"http://id.loc.gov/vocabulary/iso639-2/ger","1800","153"
"http://id.loc.gov/vocabulary/iso639-2/ita","1800","115"
"http://id.loc.gov/vocabulary/iso639-2/spa","1800","17"
"http://id.loc.gov/vocabulary/iso639-2/eng","1810","65"
"http://id.loc.gov/vocabulary/iso639-2/fre","1810","225"
"http://id.loc.gov/vocabulary/iso639-2/ger","1810","588"
"http://id.loc.gov/vocabulary/iso639-2/ita","1810","137"
"http://id.loc.gov/vocabulary/iso639-2/spa","1810","13"
"http://id.loc.gov/vocabulary/iso639-2/eng","1820","46"
"http://id.loc.gov/vocabulary/iso639-2/fre","1820","266"
"http://id.loc.gov/vocabulary/iso639-2/ger","1820","354"
"http://id.loc.gov/vocabulary/iso639-2/ita","1820","128"
"http://id.loc.gov/vocabulary/iso639-2/spa","1820","15"
"http://id.loc.gov/vocabulary/iso639-2/eng","1830","69"
"http://id.loc.gov/vocabulary/iso639-2/fre","1830","1052"
"http://id.loc.gov/vocabulary/iso639-2/ger","1830","220"
"http://id.loc.gov/vocabulary/iso639-2/ita","1830","137"
"http://id.loc.gov/vocabulary/iso639-2/spa","1830","15"
"http://id.loc.gov/vocabulary/iso639-2/eng","1840","162"
"http://id.loc.gov/vocabulary/iso639-2/fre","1840","3506"
"http://id.loc.gov/vocabulary/iso639-2/ger","1840","451"
"http://id.loc.gov/vocabulary/iso639-2/ita","1840","86"
"http://id.loc.gov/vocabulary/iso639-2/spa","1840","15"
"http://id.loc.gov/vocabulary/iso639-2/eng","1850","228"
"http://id.loc.gov/vocabulary/iso639-2/fre","1850","6911"
"http://id.loc.gov/vocabulary/iso639-2/ger","1850","252"
"http://id.loc.gov/vocabulary/iso639-2/ita","1850","46"
"http://id.loc.gov/vocabulary/iso639-2/spa","1850","16"
"http://id.loc.gov/vocabulary/iso639-2/eng","1860","289"
"http://id.loc.gov/vocabulary/iso639-2/fre","1860","13210"
"http://id.loc.gov/vocabulary/iso639-2/ger","1860","204"
"http://id.loc.gov/vocabulary/iso639-2/ita","1860","25"
"http://id.loc.gov/vocabulary/iso639-2/spa","1860","9"
"http://id.loc.gov/vocabulary/iso639-2/eng","1870","478"
"http://id.loc.gov/vocabulary/iso639-2/fre","1870","15810"
"http://id.loc.gov/vocabulary/iso639-2/ger","1870","259"
"http://id.loc.gov/vocabulary/iso639-2/ita","1870","41"
"http://id.loc.gov/vocabulary/iso639-2/spa","1870","32"
"http://id.loc.gov/vocabulary/iso639-2/eng","1880","703"
"http://id.loc.gov/vocabulary/iso639-2/fre","1880","24487"
"http://id.loc.gov/vocabulary/iso639-2/ger","1880","481"
"http://id.loc.gov/vocabulary/iso639-2/ita","1880","62"
"http://id.loc.gov/vocabulary/iso639-2/spa","1880","32"
"http://id.loc.gov/vocabulary/iso639-2/eng","1890","1044"
"http://id.loc.gov/vocabulary/iso639-2/fre","1890","32123"
"http://id.loc.gov/vocabulary/iso639-2/ger","1890","440"
"http://id.loc.gov/vocabulary/iso639-2/ita","1890","78"
"http://id.loc.gov/vocabulary/iso639-2/spa","1890","36"
"http://id.loc.gov/vocabulary/iso639-2/eng","1900","1479"
"http://id.loc.gov/vocabulary/iso639-2/fre","1900","40981"
"http://id.loc.gov/vocabulary/iso639-2/ger","1900","548"
"http://id.loc.gov/vocabulary/iso639-2/ita","1900","108"
"http://id.loc.gov/vocabulary/iso639-2/spa","1900","75"
"http://id.loc.gov/vocabulary/iso639-2/eng","1910","2853"
"http://id.loc.gov/vocabulary/iso639-2/fre","1910","34188"
"http://id.loc.gov/vocabulary/iso639-2/ger","1910","377"
"http://id.loc.gov/vocabulary/iso639-2/ita","1910","281"
"http://id.loc.gov/vocabulary/iso639-2/spa","1910","110"
"http://id.loc.gov/vocabulary/iso639-2/eng","1920","3865"
"http://id.loc.gov/vocabulary/iso639-2/fre","1920","37835"
"http://id.loc.gov/vocabulary/iso639-2/ger","1920","711"
"http://id.loc.gov/vocabulary/iso639-2/ita","1920","123"
"http://id.loc.gov/vocabulary/iso639-2/spa","1920","115"
"http://id.loc.gov/vocabulary/iso639-2/eng","1930","5956"
"http://id.loc.gov/vocabulary/iso639-2/fre","1930","51082"
"http://id.loc.gov/vocabulary/iso639-2/ger","1930","795"
"http://id.loc.gov/vocabulary/iso639-2/ita","1930","126"
"http://id.loc.gov/vocabulary/iso639-2/spa","1930","169"
"http://id.loc.gov/vocabulary/iso639-2/eng","1940","5893"
"http://id.loc.gov/vocabulary/iso639-2/fre","1940","36526"
"http://id.loc.gov/vocabulary/iso639-2/ger","1940","420"
"http://id.loc.gov/vocabulary/iso639-2/ita","1940","226"
"http://id.loc.gov/vocabulary/iso639-2/spa","1940","320"
"http://id.loc.gov/vocabulary/iso639-2/eng","1950","8420"
"http://id.loc.gov/vocabulary/iso639-2/fre","1950","46500"
"http://id.loc.gov/vocabulary/iso639-2/ger","1950","478"
"http://id.loc.gov/vocabulary/iso639-2/ita","1950","508"
"http://id.loc.gov/vocabulary/iso639-2/spa","1950","1174"
"http://id.loc.gov/vocabulary/iso639-2/eng","1960","13679"
"http://id.loc.gov/vocabulary/iso639-2/fre","1960","43858"
"http://id.loc.gov/vocabulary/iso639-2/ger","1960","502"
"http://id.loc.gov/vocabulary/iso639-2/ita","1960","870"
"http://id.loc.gov/vocabulary/iso639-2/spa","1960","832"
"http://id.loc.gov/vocabulary/iso639-2/eng","1970","26080"
"http://id.loc.gov/vocabulary/iso639-2/fre","1970","57660"
"http://id.loc.gov/vocabulary/iso639-2/ger","1970","642"
"http://id.loc.gov/vocabulary/iso639-2/ita","1970","659"
"http://id.loc.gov/vocabulary/iso639-2/spa","1970","393"
"http://id.loc.gov/vocabulary/iso639-2/eng","1980","37682"
"http://id.loc.gov/vocabulary/iso639-2/fre","1980","84352"
"http://id.loc.gov/vocabulary/iso639-2/ger","1980","749"
"http://id.loc.gov/vocabulary/iso639-2/ita","1980","494"
"http://id.loc.gov/vocabulary/iso639-2/spa","1980","446"
"http://id.loc.gov/vocabulary/iso639-2/eng","1990","63321"
"http://id.loc.gov/vocabulary/iso639-2/fre","1990","138705"
"http://id.loc.gov/vocabulary/iso639-2/ger","1990","1018"
"http://id.loc.gov/vocabulary/iso639-2/ita","1990","567"
"http://id.loc.gov/vocabulary/iso639-2/spa","1990","654"
"http://id.loc.gov/vocabulary/iso639-2/eng","2000","99426"
"http://id.loc.gov/vocabulary/iso639-2/fre","2000","235989"
"http://id.loc.gov/vocabulary/iso639-2/ger","2000","1167"
"http://id.loc.gov/vocabulary/iso639-2/ita","2000","857"
"http://id.loc.gov/vocabulary/iso639-2/spa","2000","1122"
"http://id.loc.gov/vocabulary/iso639-2/eng","2010","92080"
"http://id.loc.gov/vocabulary/iso639-2/fre","2010","340795"
"http://id.loc.gov/vocabulary/iso639-2/ger","2010","1112"
"http://id.loc.gov/vocabulary/iso639-2/ita","2010","875"
"http://id.loc.gov/vocabulary/iso639-2/spa","2010","1164"
"http://id.loc.gov/vocabulary/iso639-2/eng","2020","12448"
"http://id.loc.gov/vocabulary/iso639-2/fre","2020","56246"
"http://id.loc.gov/vocabulary/iso639-2/ger","2020","152"
"http://id.loc.gov/vocabulary/iso639-2/ita","2020","123"
"http://id.loc.gov/vocabulary/iso639-2/spa","2020","193"