"place","nb"
"[Paris]","567975"
"[S.l.]","444945"
"London","171367"
"New York","99598"
"Lyon","92282"
"Berlin","92233"
"[S. l. ?]","83015"
"(S. l. n. d.)","73533"
"S.l.","71354"
"Madrid","57246"
"Milano","56839"
"Toulouse","54605"
"Leipzig","50160"
"Washington","49896"
"Roma","49094"
"Bruxelles","47687"
"[France]","47162"
"Saint-Denis","44021"
"[Europe]. - [France]","41848"
"Denver (Colo.). - Reston (Va.)","41628"
"[S.l.n.d.]","39371"
"München","37850"
"Bordeaux","37772"
"(Paris,)","37364"
"Amsterdam","34722"
"Montpellier","33896"
"Oxford","33267"
"Москва","31684"
"(Paris)","31182"
"Grenoble","29972"