"subjectLabel","workCount"
"France","637109"
"Histoire","370611"
"20e siècle","284945"
"19e siècle","272228"
"Portraits","233585"
"Critique et interprétation","194004"
"1990-2020","160507"
"Actes de congrès","133684"
"1900-1945","122742"
"Paris (France)","110625"
"États-Unis","109880"
"Dans la littérature","96788"
"2000-....","96151"
"18e siècle","92994"
"Catalogues d'exposition","89945"
"Thèmes, motifs","82153"
"Biographie","78834"
"1970-....","77209"
"Sources","75601"
"Italie","73871"
"Europe","73753"
"Guides pratiques","72190"
"Allemagne","71342"
"Grande-Bretagne","65258"
"Livrets","62735"
"Chansons françaises","62483"
"Moeurs et coutumes","60036"
"Partitions","59528"
"Société","59396"
"Récits personnels","52768"
"Moyen âge","52072"
"17e siècle","51978"
"Catalogues","51274"
"Biographie -- Sources","50888"
"Espagne","49224"
"Conditions sociales","47613"
"Thérapeutique","44687"
"Ouvrages pour la jeunesse","44327"
"Philosophie","43893"
"1870-1914","43487"
"Dans l'art","41225"
"Psychologie","41193"
"1945-....","39095"
"Influence","38632"
"Religion","37988"
"16e siècle","37711"
"Photographie","37442"
"Tourisme","35987"
"1945-1970","34898"
"Correspondance","34733"
"Fouilles archéologiques","34649"
"Guerre mondiale (1914-1918)","34550"
"Antiquité","34428"
"1945-1990","32820"
"Femmes","32203"
"Ouvrages illustrés","31933"
"Pays de l'Union européenne","31753"
"Droit","31507"
"Informatique","31183"
"Guides touristiques et de visite","31053"