"language","subjectLabel","count"
"http://id.loc.gov/vocabulary/iso639-2/fre","France","287857"
"http://id.loc.gov/vocabulary/iso639-2/fre","Histoire","91747"
"http://id.loc.gov/vocabulary/iso639-2/fre","Portraits","82740"
"http://id.loc.gov/vocabulary/iso639-2/fre","1990-2020","65891"
"http://id.loc.gov/vocabulary/iso639-2/eng","Histoire","46147"
"http://id.loc.gov/vocabulary/iso639-2/fre","Paris (France)","44171"
"http://id.loc.gov/vocabulary/iso639-2/eng","États-Unis","40204"
"http://id.loc.gov/vocabulary/iso639-2/eng","Critique et interprétation","28611"
"http://id.loc.gov/vocabulary/iso639-2/fre","Critique et interprétation","27272"
"http://id.loc.gov/vocabulary/iso639-2/fre","19e siècle","27188"
"http://id.loc.gov/vocabulary/iso639-2/fre","1900-1945","26943"
"http://id.loc.gov/vocabulary/iso639-2/fre","20e siècle","26761"
"http://id.loc.gov/vocabulary/iso639-2/fre","1970-....","25991"
"http://id.loc.gov/vocabulary/iso639-2/ita","Italie","24831"
"http://id.loc.gov/vocabulary/iso639-2/eng","Grande-Bretagne","24299"
"http://id.loc.gov/vocabulary/iso639-2/eng","20e siècle","23696"
"http://id.loc.gov/vocabulary/iso639-2/ger","Allemagne","22490"
"http://id.loc.gov/vocabulary/iso639-2/fre","Biographie -- Sources","22411"
"http://id.loc.gov/vocabulary/iso639-2/eng","Dans la littérature","20725"
"http://id.loc.gov/vocabulary/iso639-2/eng","19e siècle","18815"
"http://id.loc.gov/vocabulary/iso639-2/fre","2000-....","18189"
"http://id.loc.gov/vocabulary/iso639-2/fre","Moeurs et coutumes","17815"
"http://id.loc.gov/vocabulary/iso639-2/fre","Thérapeutique","17527"
"http://id.loc.gov/vocabulary/iso639-2/spa","Espagne","16843"
"http://id.loc.gov/vocabulary/iso639-2/ger","Histoire","14854"
"http://id.loc.gov/vocabulary/iso639-2/fre","18e siècle","14805"
"http://id.loc.gov/vocabulary/iso639-2/eng","Thèmes, motifs","14768"
"http://id.loc.gov/vocabulary/iso639-2/fre","Thèmes, motifs","14255"
"http://id.loc.gov/vocabulary/iso639-2/eng","Société","13903"
"http://id.loc.gov/vocabulary/iso639-2/eng","Europe","13865"
"http://id.loc.gov/vocabulary/iso639-2/fre","Europe","13746"
"http://id.loc.gov/vocabulary/iso639-2/fre","Guerre mondiale (1914-1918)","13529"
"http://id.loc.gov/vocabulary/iso639-2/ger","Critique et interprétation","13289"
"http://id.loc.gov/vocabulary/iso639-2/fre","Dans la littérature","13001"
"http://id.loc.gov/vocabulary/iso639-2/fre","Tourisme","12538"
"http://id.loc.gov/vocabulary/iso639-2/eng","Informatique","12410"
"http://id.loc.gov/vocabulary/iso639-2/fre","Français (langue)","12153"
"http://id.loc.gov/vocabulary/iso639-2/fre","1870-1914","11948"
"http://id.loc.gov/vocabulary/iso639-2/fre","Indicateurs économiques","11708"
"http://id.loc.gov/vocabulary/iso639-2/ita","Critique et interprétation","11322"
"http://id.loc.gov/vocabulary/iso639-2/eng","1900-1945","11303"
"http://id.loc.gov/vocabulary/iso639-2/ita","Histoire","10876"
"http://id.loc.gov/vocabulary/iso639-2/fre","Société","10537"
"http://id.loc.gov/vocabulary/iso639-2/fre","1945-....","10537"
"http://id.loc.gov/vocabulary/iso639-2/fre","Psychologie","10358"
"http://id.loc.gov/vocabulary/iso639-2/fre","Industrie et commerce","10329"
"http://id.loc.gov/vocabulary/iso639-2/fre","Église catholique","10212"
"http://id.loc.gov/vocabulary/iso639-2/fre","Pays de l'Union européenne","10122"
"http://id.loc.gov/vocabulary/iso639-2/fre","Sources","9926"
"http://id.loc.gov/vocabulary/iso639-2/fre","Dans l'art","9838"
"http://id.loc.gov/vocabulary/iso639-2/fre","Droit","9787"
"http://id.loc.gov/vocabulary/iso639-2/lat","Numismatique médiévale","9699"
"http://id.loc.gov/vocabulary/iso639-2/eng","1990-2020","9675"
"http://id.loc.gov/vocabulary/iso639-2/fre","États-Unis","9608"
"http://id.loc.gov/vocabulary/iso639-2/fre","1945-1970","9165"
"http://id.loc.gov/vocabulary/iso639-2/eng","France","9146"
"http://id.loc.gov/vocabulary/iso639-2/eng","18e siècle","9142"
"http://id.loc.gov/vocabulary/iso639-2/spa","Histoire","9097"
"http://id.loc.gov/vocabulary/iso639-2/eng","Conditions sociales","9006"
"http://id.loc.gov/vocabulary/iso639-2/fre","Compétitions","8600"
"http://id.loc.gov/vocabulary/iso639-2/fre","Moyen âge","8325"
"http://id.loc.gov/vocabulary/iso639-2/fre","Conditions sociales","8280"
"http://id.loc.gov/vocabulary/iso639-2/fre","17e siècle","8099"
"http://id.loc.gov/vocabulary/iso639-2/fre","Philosophie","8022"
"http://id.loc.gov/vocabulary/iso639-2/eng","Influence","7825"
"http://id.loc.gov/vocabulary/iso639-2/fre","Religion","7710"
"http://id.loc.gov/vocabulary/iso639-2/eng","Moyen âge","7684"
"http://id.loc.gov/vocabulary/iso639-2/fre","1945-1990","7636"
"http://id.loc.gov/vocabulary/iso639-2/ger","1900-1945","7502"
"http://id.loc.gov/vocabulary/iso639-2/ger","19e siècle","7474"
"http://id.loc.gov/vocabulary/iso639-2/eng","Anglais (langue)","7409"
"http://id.loc.gov/vocabulary/iso639-2/eng","Religion","7359"
"http://id.loc.gov/vocabulary/iso639-2/eng","Philosophie","7221"
"http://id.loc.gov/vocabulary/iso639-2/ger","20e siècle","7128"
"http://id.loc.gov/vocabulary/iso639-2/fre","Guerre mondiale (1939-1945)","7083"
"http://id.loc.gov/vocabulary/iso639-2/fre","Belgique","6741"
"http://id.loc.gov/vocabulary/iso639-2/eng","17e siècle","6703"
"http://id.loc.gov/vocabulary/iso639-2/spa","Critique et interprétation","6602"
"http://id.loc.gov/vocabulary/iso639-2/eng","2000-....","6575"
"http://id.loc.gov/vocabulary/iso639-2/fre","Femmes","6541"
"http://id.loc.gov/vocabulary/iso639-2/eng","Chine","6521"
"http://id.loc.gov/vocabulary/iso639-2/eng","Antiquité","6480"
"http://id.loc.gov/vocabulary/iso639-2/eng","Inde","6460"
"http://id.loc.gov/vocabulary/iso639-2/fre","Gestion","6429"
"http://id.loc.gov/vocabulary/iso639-2/fre","Médecine","6423"
"http://id.loc.gov/vocabulary/iso639-2/fre","Réalisation de soi","6397"
"http://id.loc.gov/vocabulary/iso639-2/eng","Psychologie","6390"
"http://id.loc.gov/vocabulary/iso639-2/fre","Grande-Bretagne","6338"
"http://id.loc.gov/vocabulary/iso639-2/eng","Fouilles archéologiques","6280"
"http://id.loc.gov/vocabulary/iso639-2/ita","20e siècle","6274"
"http://id.loc.gov/vocabulary/iso639-2/ger","Dans la littérature","6271"
"http://id.loc.gov/vocabulary/iso639-2/eng","1970-....","6266"
"http://id.loc.gov/vocabulary/iso639-2/eng","Sources","6227"
"http://id.loc.gov/vocabulary/iso639-2/spa","20e siècle","6162"
"http://id.loc.gov/vocabulary/iso639-2/fre","Allemagne","6085"
"http://id.loc.gov/vocabulary/iso639-2/fre","Aspect économique","6075"
"http://id.loc.gov/vocabulary/iso639-2/fre","Italie","5910"
"http://id.loc.gov/vocabulary/iso639-2/eng","Moeurs et coutumes","5890"
"http://id.loc.gov/vocabulary/iso639-2/fre","Cuisine","5861"
"http://id.loc.gov/vocabulary/iso639-2/fre","Randonnée pédestre","5712"
"http://id.loc.gov/vocabulary/iso639-2/eng","Dans l'art","5540"
"http://id.loc.gov/vocabulary/iso639-2/eng","Pays de l'Union européenne","5487"
"http://id.loc.gov/vocabulary/iso639-2/fre","Généalogie","5470"
"http://id.loc.gov/vocabulary/iso639-2/ger","Thèmes, motifs","5468"
"http://id.loc.gov/vocabulary/iso639-2/fre","Afrique","5467"
"http://id.loc.gov/vocabulary/iso639-2/fre","Savoie (France)","5463"
"http://id.loc.gov/vocabulary/iso639-2/pol","Pologne","5459"
"http://id.loc.gov/vocabulary/iso639-2/eng","Allemagne","5458"
"http://id.loc.gov/vocabulary/iso639-2/eng","Antiquités","5448"
"http://id.loc.gov/vocabulary/iso639-2/fre","Conditions économiques","5389"
"http://id.loc.gov/vocabulary/iso639-2/fre","Publicité","5354"
"http://id.loc.gov/vocabulary/iso639-2/fre","Conjoncture économique","5290"
"http://id.loc.gov/vocabulary/iso639-2/fre","Coureurs cyclistes","5236"
"http://id.loc.gov/vocabulary/iso639-2/ger","Europe","5193"
"http://id.loc.gov/vocabulary/iso639-2/zxx","Pigeonniers","5186"
"http://id.loc.gov/vocabulary/iso639-2/fre","Influence","5184"
"http://id.loc.gov/vocabulary/iso639-2/fre","Antiquité","5158"
"http://id.loc.gov/vocabulary/iso639-2/fre","Mathématiques","5119"
"http://id.loc.gov/vocabulary/iso639-2/fre","1500-1800","5076"
"http://id.loc.gov/vocabulary/iso639-2/fre","Bretagne (France)","5064"
"http://id.loc.gov/vocabulary/iso639-2/fre","Étude et enseignement","5063"
"http://id.loc.gov/vocabulary/iso639-2/ita","19e siècle","5049"
"http://id.loc.gov/vocabulary/iso639-2/eng","Intelligence artificielle","5046"
"http://id.loc.gov/vocabulary/iso639-2/fre","1800-....","5024"
"http://id.loc.gov/vocabulary/iso639-2/fre","Maladies","4994"
"http://id.loc.gov/vocabulary/iso639-2/fre","Anglais (langue)","4945"
"http://id.loc.gov/vocabulary/iso639-2/eng","Aspect politique","4913"
"http://id.loc.gov/vocabulary/iso639-2/eng","1945-....","4860"
"http://id.loc.gov/vocabulary/iso639-2/zxx","Portraits","4845"
"http://id.loc.gov/vocabulary/iso639-2/eng","Tourisme","4831"
"http://id.loc.gov/vocabulary/iso639-2/fre","Comptabilité","4746"
"http://id.loc.gov/vocabulary/iso639-2/fre","1789-1799 (Révolution)","4729"
"http://id.loc.gov/vocabulary/iso639-2/fre","1789-1815","4714"
"http://id.loc.gov/vocabulary/iso639-2/eng","Relations interethniques","4695"
"http://id.loc.gov/vocabulary/iso639-2/fre","Voyages","4683"
"http://id.loc.gov/vocabulary/iso639-2/eng","16e siècle","4637"
"http://id.loc.gov/vocabulary/iso639-2/ger","Sources","4567"
"http://id.loc.gov/vocabulary/iso639-2/ger","Moyen âge","4531"
"http://id.loc.gov/vocabulary/iso639-2/fre","Orientation professionnelle","4447"
"http://id.loc.gov/vocabulary/iso639-2/eng","Mathématiques","4423"
"http://id.loc.gov/vocabulary/iso639-2/ger","Allemand (langue)","4416"
"http://id.loc.gov/vocabulary/iso639-2/fre","Géologie","4399"
"http://id.loc.gov/vocabulary/iso639-2/ger","18e siècle","4383"
"http://id.loc.gov/vocabulary/iso639-2/fre","Industrie","4377"
"http://id.loc.gov/vocabulary/iso639-2/lat","Colonies espagnoles -- Amérique","4371"
"http://id.loc.gov/vocabulary/iso639-2/eng","Modèles mathématiques","4368"
"http://id.loc.gov/vocabulary/iso639-2/fre","Transports publics","4351"
"http://id.loc.gov/vocabulary/iso639-2/ita","1900-1945","4328"
"http://id.loc.gov/vocabulary/iso639-2/fre","Associations","4311"
"http://id.loc.gov/vocabulary/iso639-2/eng","Dictionnaires anglais","4282"